weekend,pickup_hour,trip_count
False,0,1271339
False,1,632385
False,2,350031
False,3,236470
False,4,263985
False,5,476315
False,6,1098179
False,7,2167421
False,8,2905502
False,9,2912955
False,10,2876845
False,11,3013059
False,12,3244919
False,13,3372273
False,14,3698595
False,15,3875653
False,16,3940578
False,17,4491590
False,18,4785733
False,19,4144309
False,20,3855983
False,21,4012721
False,22,3654248
False,23,2684813
True,0,1443651
True,1,1144695
True,2,815262
True,3,547968
True,4,338003
True,5,171354
True,6,239619
True,7,333460
True,8,502572
True,9,767370
True,10,1009966
True,11,1183472
True,12,1336141
True,13,1414043
True,14,1438474
True,15,1452172
True,16,1518025
True,17,1571147
True,18,1598883
True,19,1487455
True,20,1296624
True,21,1262260
True,22,1274908
True,23,1178385
