month,raw_rows,null_pickup_timestamp,null_dropoff_timestamp,dropoff_not_after_pickup,duration_nonpositive,duration_over_240,source_month_mismatch,null_PULocationID,null_DOLocationID,nonpositive_distance,nonpositive_fare,missing_passenger_count,structurally_valid_rows,structurally_removed_rows,unmatched_pickup_lookup
2024-01,2964624,0,0,870,870,1878,18,0,0,60371,38341,140162,2961858,2766,10257
2024-02,3007526,0,0,803,803,1802,15,0,0,68225,41499,185610,3004906,2620,9577
2024-03,3582628,0,0,1128,1128,2031,23,0,0,87168,59756,426190,3579447,3181,11444
2024-04,3514289,0,0,1089,1089,2096,9,0,0,45813,58876,408576,3511098,3191,10821
2024-05,3723833,0,0,1147,1147,2110,33,0,0,49791,62565,404666,3720547,3286,11599
2024-06,3539193,0,0,1140,1140,2049,51,0,0,52954,63043,410781,3535959,3234,11436
2024-07,3076903,0,0,1068,1068,1895,47,0,0,48045,59730,278989,3073895,3008,9518
2024-08,2979183,0,0,1018,1018,1903,51,0,0,57413,59387,258667,2976214,2969,8182
2024-09,3633030,0,0,1161,1161,1768,49,0,0,81121,74777,483731,3630055,2975,9384
2024-10,3833771,0,0,1002,1002,1876,40,0,0,81639,76877,393895,3830854,2917,10146
2024-11,3646369,0,0,1861,1861,1958,50,0,0,68315,72936,373674,3642502,3867,9369
2024-12,3668371,0,0,1223,1223,2008,34,0,0,75450,80497,326291,3665110,3261,9487
2025-01,3475226,0,0,2051,2051,1278,22,0,0,90893,145516,540149,3471875,3351,8088
2025-02,3577543,0,0,5164,5164,1211,31,0,0,99771,184096,806937,3571137,6406,7416
2025-03,4145257,0,0,22280,22280,1473,33,0,0,103722,210378,916663,4121471,23786,7569
2025-04,3970553,0,0,34769,34769,1468,7,0,0,91439,188171,745730,3934309,36244,7287
2025-05,4591845,0,0,64272,64272,1404,24,0,0,141121,327375,1196176,4526145,65700,7529
2025-06,4322960,0,0,68583,68583,1253,20,0,0,134896,277527,1212946,4253104,69856,6598
2025-07,3898963,0,0,56064,56064,1073,7,0,0,123774,248458,1038755,3841819,57144,6059
2025-08,3574091,0,0,47833,47833,1149,17,0,0,105184,262635,886234,3525092,48999,5339
2025-09,4251015,0,0,57179,57179,1413,7,0,0,124483,254424,1067195,4192416,58599,6028
2025-10,4428699,0,0,67968,67968,1470,13,0,0,125599,323383,990887,4359249,69450,6553
2025-11,4181444,0,0,62120,62120,1553,24,0,0,109420,397555,1014740,4117747,63697,6102
2025-12,4305006,0,0,58021,58021,1975,9,0,0,152656,50716,1195482,4245001,60005,5654
