pickup_Borough,pickup_Zone,trip_count
Queens,JFK Airport,4034602
Manhattan,Upper East Side South,4001341
Manhattan,Midtown Center,3973590
Manhattan,Upper East Side North,3568124
Manhattan,Midtown East,2902776
Manhattan,Times Sq/Theatre District,2889401
Manhattan,Penn Station/Madison Sq West,2883630
Manhattan,Lincoln Square East,2679404
Queens,LaGuardia Airport,2569436
Manhattan,Murray Hill,2454289
Manhattan,Midtown North,2390472
Manhattan,Union Sq,2382689
Manhattan,East Chelsea,2348714
Manhattan,Upper West Side South,2343050
Manhattan,Clinton East,2180015
Manhattan,East Village,2160000
Manhattan,West Village,1997667
Manhattan,Midtown South,1963126
Manhattan,Lenox Hill West,1942979
Manhattan,Gramercy,1734989
