day_type,pickup_hour,total_trips,number_of_days,avg_daily_trips
Weekday,0,1271339,523,2430.8585086042067
Weekday,1,632385,523,1209.1491395793498
Weekday,2,350031,523,669.2753346080306
Weekday,3,236470,523,452.1414913957935
Weekday,4,263985,523,504.75143403441683
Weekday,5,476315,523,910.736137667304
Weekday,6,1098179,523,2099.7686424474186
Weekday,7,2167421,523,4144.208413001912
Weekday,8,2905502,523,5555.453154875717
Weekday,9,2912955,523,5569.703632887189
Weekday,10,2876845,523,5500.65965583174
Weekday,11,3013059,523,5761.10707456979
Weekday,12,3244919,523,6204.434034416826
Weekday,13,3372273,523,6447.940726577438
Weekday,14,3698595,523,7071.883365200765
Weekday,15,3875653,523,7410.42638623327
Weekday,16,3940578,523,7534.565965583174
Weekday,17,4491590,523,8588.12619502868
Weekday,18,4785733,523,9150.541108986616
Weekday,19,4144309,523,7924.108986615679
Weekday,20,3855983,523,7372.816443594646
Weekday,21,4012721,523,7672.506692160612
Weekday,22,3654248,523,6987.089866156788
Weekday,23,2684813,523,5133.485659655832
Weekend,0,1443651,208,6940.629807692308
Weekend,1,1144695,208,5503.341346153846
Weekend,2,815262,208,3919.528846153846
Weekend,3,547968,208,2634.4615384615386
Weekend,4,338003,208,1625.014423076923
Weekend,5,171354,208,823.8173076923077
Weekend,6,239619,208,1152.014423076923
Weekend,7,333460,208,1603.173076923077
Weekend,8,502572,208,2416.2115384615386
Weekend,9,767370,208,3689.278846153846
Weekend,10,1009966,208,4855.6057692307695
Weekend,11,1183472,208,5689.7692307692305
Weekend,12,1336141,208,6423.754807692308
Weekend,13,1414043,208,6798.283653846154
Weekend,14,1438474,208,6915.740384615385
Weekend,15,1452172,208,6981.596153846154
Weekend,16,1518025,208,7298.197115384615
Weekend,17,1571147,208,7553.591346153846
Weekend,18,1598883,208,7686.9375
Weekend,19,1487455,208,7151.225961538462
Weekend,20,1296624,208,6233.7692307692305
Weekend,21,1262260,208,6068.557692307692
Weekend,22,1274908,208,6129.365384615385
Weekend,23,1178385,208,5665.3125
