month,row_count,column_count,schema_signature,pickup_min,pickup_max,dropoff_min,dropoff_max
2024-01,2964624,19,fe168fb695319a91,2002-12-31 22:59:39,2024-02-01 00:01:15,2002-12-31 23:05:41,2024-02-02 13:56:52
2024-02,3007526,19,fe168fb695319a91,2008-12-31 22:52:49,2024-03-01 00:01:37,2008-12-31 23:04:09,2024-03-01 23:24:42
2024-03,3582628,19,fe168fb695319a91,2002-12-31 22:17:10,2024-04-01 00:34:55,2002-12-31 22:42:24,2024-04-02 18:08:46
2024-04,3514289,19,fe168fb695319a91,2002-12-31 22:10:04,2024-05-01 00:02:36,2002-12-31 22:14:22,2024-05-01 23:22:35
2024-05,3723833,19,fe168fb695319a91,2002-12-31 16:46:07,2024-06-01 23:54:14,2002-12-31 17:24:07,2024-06-02 00:18:18
2024-06,3539193,19,fe168fb695319a91,2008-12-31 00:00:00,2026-06-26 23:53:12,2008-12-31 23:01:42,2026-06-27 20:59:10
2024-07,3076903,19,fe168fb695319a91,2009-01-01 00:02:24,2024-08-01 23:51:57,2009-01-01 00:13:25,2024-08-02 14:48:03
2024-08,2979183,19,fe168fb695319a91,2009-01-01 00:02:52,2024-09-10 12:27:29,2009-01-01 20:28:16,2024-09-10 19:45:57
2024-09,3633030,19,fe168fb695319a91,2008-12-31 23:03:46,2024-10-01 21:24:53,2009-01-01 14:28:23,2024-10-02 17:28:37
2024-10,3833771,19,fe168fb695319a91,2009-01-01 00:35:59,2024-11-14 18:30:00,2009-01-01 01:29:28,2024-11-14 18:41:41
2024-11,3646369,19,fe168fb695319a91,2002-12-31 22:17:43,2024-12-01 22:04:33,2002-12-31 22:23:55,2024-12-01 23:10:54
2024-12,3668371,19,fe168fb695319a91,2008-12-31 23:03:59,2025-03-23 20:42:06,2009-01-01 00:30:36,2025-03-23 22:52:56
2025-01,3475226,20,0122e1e718eadab0,2024-12-31 20:47:55,2025-02-01 00:00:44,2024-12-18 07:52:40,2025-02-01 23:44:11
2025-02,3577543,20,0122e1e718eadab0,2025-01-31 22:22:53,2025-03-01 00:06:32,2025-01-31 22:30:00,2025-03-01 23:13:42
2025-03,4145257,20,0122e1e718eadab0,2007-12-05 18:45:00,2025-04-01 00:00:17,2007-12-05 19:02:00,2025-04-03 14:07:50
2025-04,3970553,20,0122e1e718eadab0,2025-03-31 23:45:01,2025-05-01 00:48:13,2025-03-31 23:54:54,2025-05-01 21:42:14
2025-05,4591845,20,0122e1e718eadab0,2009-01-01 00:20:39,2025-06-01 00:04:31,2009-01-01 00:20:49,2025-06-04 11:17:10
2025-06,4322960,20,0122e1e718eadab0,2025-05-31 22:34:26,2025-06-30 23:59:59,2025-05-31 22:43:36,2025-07-01 22:36:42
2025-07,3898963,20,0122e1e718eadab0,2009-01-01 08:52:26,2025-07-31 23:59:59,2009-01-01 10:00:26,2025-08-03 17:03:02
2025-08,3574091,20,0122e1e718eadab0,2009-01-01 12:52:15,2025-09-01 00:00:29,2009-01-01 13:12:15,2025-09-02 08:17:29
2025-09,4251015,20,0122e1e718eadab0,2025-08-31 23:45:38,2025-10-01 00:00:11,2025-08-31 23:46:43,2025-10-03 14:49:31
2025-10,4428699,20,0122e1e718eadab0,2025-09-30 22:54:51,2025-11-01 00:32:12,2025-09-30 23:04:41,2025-11-03 09:38:20
2025-11,4181444,20,0122e1e718eadab0,2008-12-31 23:04:21,2025-11-30 23:59:59,2008-12-31 23:32:25,2025-12-01 21:41:00
2025-12,4305006,20,0122e1e718eadab0,2025-11-30 20:48:56,2025-12-31 23:59:59,2025-11-30 20:57:48,2026-01-05 13:00:34
