month,column,data_type,nullable,schema_signature
2024-01,VendorID,int,True,fe168fb695319a91
2024-01,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-01,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-01,passenger_count,bigint,True,fe168fb695319a91
2024-01,trip_distance,double,True,fe168fb695319a91
2024-01,RatecodeID,bigint,True,fe168fb695319a91
2024-01,store_and_fwd_flag,string,True,fe168fb695319a91
2024-01,PULocationID,int,True,fe168fb695319a91
2024-01,DOLocationID,int,True,fe168fb695319a91
2024-01,payment_type,bigint,True,fe168fb695319a91
2024-01,fare_amount,double,True,fe168fb695319a91
2024-01,extra,double,True,fe168fb695319a91
2024-01,mta_tax,double,True,fe168fb695319a91
2024-01,tip_amount,double,True,fe168fb695319a91
2024-01,tolls_amount,double,True,fe168fb695319a91
2024-01,improvement_surcharge,double,True,fe168fb695319a91
2024-01,total_amount,double,True,fe168fb695319a91
2024-01,congestion_surcharge,double,True,fe168fb695319a91
2024-01,Airport_fee,double,True,fe168fb695319a91
2024-02,VendorID,int,True,fe168fb695319a91
2024-02,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-02,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-02,passenger_count,bigint,True,fe168fb695319a91
2024-02,trip_distance,double,True,fe168fb695319a91
2024-02,RatecodeID,bigint,True,fe168fb695319a91
2024-02,store_and_fwd_flag,string,True,fe168fb695319a91
2024-02,PULocationID,int,True,fe168fb695319a91
2024-02,DOLocationID,int,True,fe168fb695319a91
2024-02,payment_type,bigint,True,fe168fb695319a91
2024-02,fare_amount,double,True,fe168fb695319a91
2024-02,extra,double,True,fe168fb695319a91
2024-02,mta_tax,double,True,fe168fb695319a91
2024-02,tip_amount,double,True,fe168fb695319a91
2024-02,tolls_amount,double,True,fe168fb695319a91
2024-02,improvement_surcharge,double,True,fe168fb695319a91
2024-02,total_amount,double,True,fe168fb695319a91
2024-02,congestion_surcharge,double,True,fe168fb695319a91
2024-02,Airport_fee,double,True,fe168fb695319a91
2024-03,VendorID,int,True,fe168fb695319a91
2024-03,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-03,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-03,passenger_count,bigint,True,fe168fb695319a91
2024-03,trip_distance,double,True,fe168fb695319a91
2024-03,RatecodeID,bigint,True,fe168fb695319a91
2024-03,store_and_fwd_flag,string,True,fe168fb695319a91
2024-03,PULocationID,int,True,fe168fb695319a91
2024-03,DOLocationID,int,True,fe168fb695319a91
2024-03,payment_type,bigint,True,fe168fb695319a91
2024-03,fare_amount,double,True,fe168fb695319a91
2024-03,extra,double,True,fe168fb695319a91
2024-03,mta_tax,double,True,fe168fb695319a91
2024-03,tip_amount,double,True,fe168fb695319a91
2024-03,tolls_amount,double,True,fe168fb695319a91
2024-03,improvement_surcharge,double,True,fe168fb695319a91
2024-03,total_amount,double,True,fe168fb695319a91
2024-03,congestion_surcharge,double,True,fe168fb695319a91
2024-03,Airport_fee,double,True,fe168fb695319a91
2024-04,VendorID,int,True,fe168fb695319a91
2024-04,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-04,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-04,passenger_count,bigint,True,fe168fb695319a91
2024-04,trip_distance,double,True,fe168fb695319a91
2024-04,RatecodeID,bigint,True,fe168fb695319a91
2024-04,store_and_fwd_flag,string,True,fe168fb695319a91
2024-04,PULocationID,int,True,fe168fb695319a91
2024-04,DOLocationID,int,True,fe168fb695319a91
2024-04,payment_type,bigint,True,fe168fb695319a91
2024-04,fare_amount,double,True,fe168fb695319a91
2024-04,extra,double,True,fe168fb695319a91
2024-04,mta_tax,double,True,fe168fb695319a91
2024-04,tip_amount,double,True,fe168fb695319a91
2024-04,tolls_amount,double,True,fe168fb695319a91
2024-04,improvement_surcharge,double,True,fe168fb695319a91
2024-04,total_amount,double,True,fe168fb695319a91
2024-04,congestion_surcharge,double,True,fe168fb695319a91
2024-04,Airport_fee,double,True,fe168fb695319a91
2024-05,VendorID,int,True,fe168fb695319a91
2024-05,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-05,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-05,passenger_count,bigint,True,fe168fb695319a91
2024-05,trip_distance,double,True,fe168fb695319a91
2024-05,RatecodeID,bigint,True,fe168fb695319a91
2024-05,store_and_fwd_flag,string,True,fe168fb695319a91
2024-05,PULocationID,int,True,fe168fb695319a91
2024-05,DOLocationID,int,True,fe168fb695319a91
2024-05,payment_type,bigint,True,fe168fb695319a91
2024-05,fare_amount,double,True,fe168fb695319a91
2024-05,extra,double,True,fe168fb695319a91
2024-05,mta_tax,double,True,fe168fb695319a91
2024-05,tip_amount,double,True,fe168fb695319a91
2024-05,tolls_amount,double,True,fe168fb695319a91
2024-05,improvement_surcharge,double,True,fe168fb695319a91
2024-05,total_amount,double,True,fe168fb695319a91
2024-05,congestion_surcharge,double,True,fe168fb695319a91
2024-05,Airport_fee,double,True,fe168fb695319a91
2024-06,VendorID,int,True,fe168fb695319a91
2024-06,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-06,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-06,passenger_count,bigint,True,fe168fb695319a91
2024-06,trip_distance,double,True,fe168fb695319a91
2024-06,RatecodeID,bigint,True,fe168fb695319a91
2024-06,store_and_fwd_flag,string,True,fe168fb695319a91
2024-06,PULocationID,int,True,fe168fb695319a91
2024-06,DOLocationID,int,True,fe168fb695319a91
2024-06,payment_type,bigint,True,fe168fb695319a91
2024-06,fare_amount,double,True,fe168fb695319a91
2024-06,extra,double,True,fe168fb695319a91
2024-06,mta_tax,double,True,fe168fb695319a91
2024-06,tip_amount,double,True,fe168fb695319a91
2024-06,tolls_amount,double,True,fe168fb695319a91
2024-06,improvement_surcharge,double,True,fe168fb695319a91
2024-06,total_amount,double,True,fe168fb695319a91
2024-06,congestion_surcharge,double,True,fe168fb695319a91
2024-06,Airport_fee,double,True,fe168fb695319a91
2024-07,VendorID,int,True,fe168fb695319a91
2024-07,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-07,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-07,passenger_count,bigint,True,fe168fb695319a91
2024-07,trip_distance,double,True,fe168fb695319a91
2024-07,RatecodeID,bigint,True,fe168fb695319a91
2024-07,store_and_fwd_flag,string,True,fe168fb695319a91
2024-07,PULocationID,int,True,fe168fb695319a91
2024-07,DOLocationID,int,True,fe168fb695319a91
2024-07,payment_type,bigint,True,fe168fb695319a91
2024-07,fare_amount,double,True,fe168fb695319a91
2024-07,extra,double,True,fe168fb695319a91
2024-07,mta_tax,double,True,fe168fb695319a91
2024-07,tip_amount,double,True,fe168fb695319a91
2024-07,tolls_amount,double,True,fe168fb695319a91
2024-07,improvement_surcharge,double,True,fe168fb695319a91
2024-07,total_amount,double,True,fe168fb695319a91
2024-07,congestion_surcharge,double,True,fe168fb695319a91
2024-07,Airport_fee,double,True,fe168fb695319a91
2024-08,VendorID,int,True,fe168fb695319a91
2024-08,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-08,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-08,passenger_count,bigint,True,fe168fb695319a91
2024-08,trip_distance,double,True,fe168fb695319a91
2024-08,RatecodeID,bigint,True,fe168fb695319a91
2024-08,store_and_fwd_flag,string,True,fe168fb695319a91
2024-08,PULocationID,int,True,fe168fb695319a91
2024-08,DOLocationID,int,True,fe168fb695319a91
2024-08,payment_type,bigint,True,fe168fb695319a91
2024-08,fare_amount,double,True,fe168fb695319a91
2024-08,extra,double,True,fe168fb695319a91
2024-08,mta_tax,double,True,fe168fb695319a91
2024-08,tip_amount,double,True,fe168fb695319a91
2024-08,tolls_amount,double,True,fe168fb695319a91
2024-08,improvement_surcharge,double,True,fe168fb695319a91
2024-08,total_amount,double,True,fe168fb695319a91
2024-08,congestion_surcharge,double,True,fe168fb695319a91
2024-08,Airport_fee,double,True,fe168fb695319a91
2024-09,VendorID,int,True,fe168fb695319a91
2024-09,tpep_pickup_datetime,timestamp_ntz,True,fe168fb695319a91
2024-09,tpep_dropoff_datetime,timestamp_ntz,True,fe168fb695319a91
2024-09,passenger_count,bigint,True,fe168fb695319a91
2024-09,trip_distance,double,True,fe168fb695319a91
2024-09,RatecodeID,bigint,True,fe168fb695319a91
